TargetPos_Z	IsShowPath	IsRandomSpeed	TargetAngularSpeed	Points	Distance	Angle	IntPoints	Lag	Index_Speed	Index_Lag	LaserDotTarget	TargetSpeed	PreviousDirDot	PointsThisRun	PointsTotal	Frames	Date
-7.49	0	0	3.44823	7.85822	0.349086	2.7817	7.39057	64	-1	51	0.208471	0.5	-0.0708464	3908	201033	530	2022-12-6-9:56:20
-7.49	0	0	3.82944	10.4444	0.0617335	0.496607	10.3138	0	-1	50	0.748391	0.5	-0.0407835	5445	206478	529	2022-12-6-9:56:27
-7.49	1	0	6.93765	10.0514	0.105395	0.805741	9.71509	16	-1	49	0.848616	1	0.116352	5138	211616	530	2022-12-6-9:56:35
-7.49	0	0	3.73145	9.94451	0.117277	0.943037	9.64151	16	-1	48	0.709108	0.5	0.112492	5099	216715	530	2022-12-6-9:56:43
-7.49	1	0	3.33661	9.25621	0.193755	1.51671	8.83743	64	-1	47	0.703894	0.5	-0.0347771	4665	221380	529	2022-12-6-10:2:35
-7.49	1	0	25.8871	7.67089	0.370654	2.74404	7.18476	16	-1	46	0.800058	4	-0.56313	3761	225141	525	2022-12-6-10:2:43
-7.49	1	0	39.8366	6.13646	0.492843	3.28827	5.69318	8	-1	45	0.915899	8	-0.431325	2996	228137	528	2022-12-6-10:2:50
-7.49	1	0	1.89153	10.6598	0.0377987	0.305634	10.7895	4	-1	44	0.964701	0.25	0.315868	5729	233866	532	2022-12-6-10:2:57
-7.49	0	0	23.3249	3.40923	0.41504	8.00183	3.09811	32	-1	43	0.666545	4	-0.095723	1632	235498	530	2022-12-6-10:3:8
-7.49	0	0	24.1023	8.11077	0.293202	2.31281	7.64896	1	-1	42	0.710634	4	-0.509734	4020	239518	527	2022-12-6-10:3:15
-7.49	0	0	12.6123	1.52788	0.301503	11.1153	1.36069	64	-1	41	0.0239025	2	-0.440208	704	240222	524	2022-12-6-10:3:27
-7.49	0	0	36.3349	1.29461	0.23863	14.0925	1.1553	32	-1	40	0.491726	8	-0.224412	600	240822	528	2022-12-6-10:3:37
-7.49	0	0	13.5722	5.06557	0.419836	5.69698	4.68952	32	-1	39	0.419461	2	-0.41104	2451	243273	525	2022-12-6-10:3:46
-7.49	0	0	1.85592	10.6994	0.0334017	0.266831	10.7906	4	-1	38	0.754579	0.25	0.0276964	5708	248981	530	2022-12-6-10:3:53
-7.49	1	0	13.8716	9.94054	0.117718	0.903444	9.57576	8	-1	37	0.919227	2	-0.32273	5045	254026	528	2022-12-6-10:4:0
-7.49	0	0	6.9037	5.37412	0.581173	5.1103	4.90737	64	-1	36	0.146477	1	-0.177871	2586	256612	529	2022-12-6-10:4:12
-7.49	0	0	39.6104	4.71188	0.313824	6.48602	4.38973	8	-1	35	0.686098	8	-0.632672	2298	258910	526	2022-12-6-10:4:20
-7.49	1	0	1.70588	9.64038	0.151069	1.21559	9.26755	64	-1	34	0.735144	0.25	-0.111174	4875	263785	527	2022-12-6-10:4:32
-7.49	0	0	25.1632	5.24948	0.374864	5.52184	4.92614	16	-1	33	0.521904	4	-0.332166	2590	266375	528	2022-12-6-10:4:39
-7.49	0	0	1.88917	10.661	0.0376642	0.302811	10.7057	2	-1	32	0.654984	0.25	-0.0427108	5663	272038	530	2022-12-6-10:4:47
-7.49	0	0	3.48031	9.48264	0.168595	1.31582	9.15341	32	-1	31	0.504232	0.5	-0.290315	4822	276860	528	2022-12-6-10:4:55
-7.49	1	0	13.3363	10.0892	0.101203	0.727967	9.78531	4	-1	30	0.928645	2	0.225306	5185	282045	531	2022-12-6-10:5:2
